id,type
DB00050,Drug
DB00162,Drug
DB00175,Drug
DB00176,Drug
DB00177,Drug
DB00178,Drug
DB00180,Drug
DB00181,Drug
DB00182,Drug
DB00184,Drug
DB00185,Drug
DB00186,Drug
DB00187,Drug
DB00188,Drug
DB00191,Drug
DB00193,Drug
DB00195,Drug
DB00197,Drug
DB00198,Drug
DB00200,Drug
DB00201,Drug
DB00202,Drug
DB00203,Drug
DB00204,Drug
DB00205,Drug
DB00206,Drug
DB00208,Drug
DB00210,Drug
DB00211,Drug
DB00215,Drug
DB00216,Drug
DB00218,Drug
DB00222,Drug
DB00227,Drug
DB00228,Drug
DB00230,Drug
DB00231,Drug
DB00242,Drug
DB00243,Drug
DB00246,Drug
DB00247,Drug
DB00248,Drug
DB00252,Drug
DB00257,Drug
DB00264,Drug
DB00268,Drug
DB00273,Drug
DB00276,Drug
DB00277,Drug
DB00278,Drug
DB00280,Drug
DB00281,Drug
DB00282,Drug
DB00284,Drug
DB00285,Drug
DB00287,Drug
DB00288,Drug
DB00289,Drug
DB00292,Drug
DB00293,Drug
DB00295,Drug
DB00296,Drug
DB00297,Drug
DB00302,Drug
DB00307,Drug
DB00308,Drug
DB00310,Drug
DB00312,Drug
DB00313,Drug
DB00315,Drug
DB00316,Drug
DB00317,Drug
DB00318,Drug
DB00320,Drug
DB00321,Drug
DB00323,Drug
DB00324,Drug
DB00327,Drug
DB00328,Drug
DB00331,Drug
DB00333,Drug
DB00334,Drug
DB00335,Drug
DB00337,Drug
DB00344,Drug
DB00346,Drug
DB00349,Drug
DB00350,Drug
DB00351,Drug
DB00356,Drug
DB00357,Drug
DB00358,Drug
DB00361,Drug
DB00363,Drug
DB00364,Drug
DB00367,Drug
DB00368,Drug
DB00370,Drug
DB00371,Drug
DB00373,Drug
DB00374,Drug
DB00376,Drug
DB00377,Drug
DB00379,Drug
DB00381,Drug
DB00382,Drug
DB00384,Drug
DB00388,Drug
DB00390,Drug
DB00393,Drug
DB00396,Drug
DB00398,Drug
DB00401,Drug
DB00404,Drug
DB00408,Drug
DB00411,Drug
DB00412,Drug
DB00413,Drug
DB00418,Drug
DB00419,Drug
DB00421,Drug
DB00422,Drug
DB00425,Drug
DB00431,Drug
DB00433,Drug
DB00434,Drug
DB00437,Drug
DB00439,Drug
DB00440,Drug
DB00441,Drug
DB00444,Drug
DB00446,Drug
DB00449,Drug
DB00450,Drug
DB00454,Drug
DB00457,Drug
DB00458,Drug
DB00459,Drug
DB00461,Drug
DB00465,Drug
DB00471,Drug
DB00472,Drug
DB00474,Drug
DB00475,Drug
DB00476,Drug
DB00477,Drug
DB00480,Drug
DB00481,Drug
DB00482,Drug
DB00484,Drug
DB00486,Drug
DB00489,Drug
DB00490,Drug
DB00491,Drug
DB00492,Drug
DB00494,Drug
DB00496,Drug
DB00497,Drug
DB00499,Drug
DB00500,Drug
DB00501,Drug
DB00502,Drug
DB00518,Drug
DB00519,Drug
DB00521,Drug
DB00524,Drug
DB00530,Drug
DB00532,Drug
DB00533,Drug
DB00535,Drug
DB00537,Drug
DB00539,Drug
DB00540,Drug
DB00541,Drug
DB00542,Drug
DB00543,Drug
DB00547,Drug
DB00548,Drug
DB00550,Drug
DB00554,Drug
DB00555,Drug
DB00559,Drug
DB00561,Drug
DB00563,Drug
DB00564,Drug
DB00571,Drug
DB00572,Drug
DB00573,Drug
DB00575,Drug
DB00580,Drug
DB00585,Drug
DB00586,Drug
DB00590,Drug
DB00591,Drug
DB00593,Drug
DB00594,Drug
DB00598,Drug
DB00602,Drug
DB00603,Drug
DB00605,Drug
DB00608,Drug
DB00611,Drug
DB00612,Drug
DB00615,Drug
DB00619,Drug
DB00620,Drug
DB00621,Drug
DB00622,Drug
DB00623,Drug
DB00624,Drug
DB00630,Drug
DB00631,Drug
DB00633,Drug
DB00635,Drug
DB00640,Drug
