Source,Target
DB00050,P22888
DB00050,P30968
DB00162,P10745
DB00162,P09455
DB00162,P00352
DB00162,Q92781
DB00162,P12271
DB00162,O95237
DB00175,P04035
DB00176,P31645
DB00177,P30556
DB00178,P12821
DB00180,P04150
DB00181,Q9UBS5
DB00181,O75899
DB00182,Q05940
DB00182,Q01959
DB00184,Q15822
DB00184,P43681
DB00184,P17787
DB00184,P36544
DB00184,P30926
DB00184,P32297
DB00184,P30532
DB00185,P20309
DB00185,P11229
DB00186,P24046
DB00186,P48169
DB00186,P34903
DB00186,P30536
DB00186,P14867
DB00186,P18505
DB00186,P28472
DB00186,P47870
DB00186,P18507
DB00186,Q8N1C3
DB00186,Q99928
DB00186,P28476
DB00186,O14764
DB00187,P08588
DB00188,Q99460
DB00188,Q13200
DB00188,P20618
DB00188,P28074
DB00188,P49721
DB00191,P23975
DB00191,Q01959
DB00191,P31645
DB00191,P27338
DB00191,P21397
DB00193,P20309
DB00193,P41143
DB00193,P23975
DB00193,P28335
DB00193,P41145
DB00193,Q8TCU5
DB00193,P31645
DB00193,P35372
DB00195,P08588
DB00195,P07550
DB00197,P37231
DB00197,P05121
DB00197,Q99808
DB00197,P62508
DB00197,P11474
DB00198,Q99519
DB00198,P23141
DB00200,Q8IVH4
DB00200,Q96EY8
DB00200,Q99707
DB00200,Q9UBK8
DB00200,P22033
DB00200,O60494
DB00201,P30542
DB00201,Q07343
DB00201,P21817
DB00201,P29274
DB00202,P20309
DB00202,P11229
DB00202,P08172
DB00203,O76074
DB00203,P18545
DB00203,Q13956
DB00204,Q12809
DB00204,Q14500
DB00205,P00374
DB00206,Q05940
DB00208,Q9H244
DB00210,P28702
DB00210,P13631
DB00210,P10826
DB00210,P19793
DB00210,P10276
DB00210,P48443
DB00211,P35348
DB00211,P35368
DB00215,P31645
DB00216,P08908
DB00216,P41595
DB00216,P30939
DB00216,P34969
DB00216,P28221
DB00216,P28222
DB00218,P11388
DB00222,Q09428
DB00222,P48048
DB00222,Q14654
DB00227,P20701
DB00227,P04035
DB00227,Q92769
DB00228,P03886
DB00228,Q12791
DB00228,P42261
DB00228,Q09470
DB00228,P14867
DB00230,O00555
DB00231,P24046
DB00231,P48169
DB00231,P34903
DB00231,P30536
DB00231,P14867
DB00231,P18505
DB00231,P28472
DB00231,P47870
DB00231,P18507
DB00231,Q8N1C3
DB00231,Q99928
DB00231,P28476
DB00231,O14764
DB00242,P00491
DB00242,P23921
DB00242,P09884
DB00242,P31350
DB00242,Q7LG56
DB00242,Q07864
DB00242,P56282
DB00242,Q9NR33
DB00242,Q9NRF9
DB00243,Q14524
DB00246,P21728
DB00246,P20309
DB00246,P11229
DB00246,P21918
DB00246,P08912
DB00246,P08913
DB00246,P08908
DB00246,P46098
DB00246,P18825
DB00246,P21917
DB00246,P08173
DB00246,P28223
DB00246,P35348
DB00246,P28335
DB00246,P08172
DB00246,P18089
DB00246,P35368
DB00246,P35462
DB00246,P34969
DB00246,P28221
DB00246,P14416
DB00246,P28222
DB00246,P50406
DB00247,P08908
DB00247,P41595
DB00247,P28223
DB00247,P28335
DB00247,P34969
DB00248,P21728
DB00248,P21918
DB00248,P08913
DB00248,P08908
DB00248,P18825
DB00248,P21917
DB00248,P41595
DB00248,P28223
DB00248,P28335
DB00248,P18089
DB00248,P35462
DB00248,P34969
DB00248,P28221
DB00248,P14416
DB00248,P28222
DB00252,Q14524
DB00257,O15554
DB00264,P08588
DB00264,P07550
DB00268,P21728
DB00268,P21918
DB00268,P08913
DB00268,P08908
DB00268,P18825
DB00268,P21917
DB00268,P41595
DB00268,P28223
DB00268,P28335
DB00268,P18089
DB00268,P35462
DB00268,P28221
DB00268,P14416
DB00268,P28222
DB00273,P00918
DB00273,P39086
DB00273,P22748
DB00273,P14867
DB00276,Q12809
DB00276,P11388
DB00277,P30542
DB00277,O76074
DB00277,P29275
DB00277,Q07343
DB00277,P29274
DB00277,P27815
DB00278,P00734
DB00280,P20309
DB00280,P11229
DB00280,Q14524
DB00280,P08172
DB00280,Q9NZV8
DB00280,Q9UK17
DB00281,Q9Y5Y9
DB00281,Q14524
DB00281,P00533
DB00282,P14324
DB00284,O43451
DB00284,P10253
DB00284,P14410
DB00284,P04746
DB00285,P23975
DB00285,Q01959
